date,TICKER,INDEXNAME,DURATION,daily_value
2023-05-11,MELI,Mercado Libre Transaction Index,Daily,0.15223442447595906
2023-05-12,MELI,Mercado Libre Transaction Index,Daily,0.15815072761284815
2023-05-15,MELI,Mercado Libre Transaction Index,Daily,0.16406703074973727
2023-05-16,MELI,Mercado Libre Transaction Index,Daily,0.1699833338866264
2023-05-17,MELI,Mercado Libre Transaction Index,Daily,0.1758996370235155
2023-05-18,MELI,Mercado Libre Transaction Index,Daily,0.18181594016040462
2023-05-19,MELI,Mercado Libre Transaction Index,Daily,0.1877322432972937
2023-05-22,MELI,Mercado Libre Transaction Index,Daily,0.19364854643418283
2023-05-23,MELI,Mercado Libre Transaction Index,Daily,0.19956484957107196
2023-05-24,MELI,Mercado Libre Transaction Index,Daily,0.20548115270796102
2023-05-25,MELI,Mercado Libre Transaction Index,Daily,0.21139745584485015
2023-05-26,MELI,Mercado Libre Transaction Index,Daily,0.2173137589817393
2023-05-30,MELI,Mercado Libre Transaction Index,Daily,0.22323006211862836
2023-05-31,MELI,Mercado Libre Transaction Index,Daily,0.2291463652555175
2023-06-01,MELI,Mercado Libre Transaction Index,Daily,0.16558046601024215
2023-06-02,MELI,Mercado Libre Transaction Index,Daily,0.16907304034731316
2023-06-05,MELI,Mercado Libre Transaction Index,Daily,0.1725656146843842
2023-06-06,MELI,Mercado Libre Transaction Index,Daily,0.1760581890214552
2023-06-07,MELI,Mercado Libre Transaction Index,Daily,0.17955076335852624
2023-06-08,MELI,Mercado Libre Transaction Index,Daily,0.18304333769559725
2023-06-09,MELI,Mercado Libre Transaction Index,Daily,0.18653591203266828
2023-06-12,MELI,Mercado Libre Transaction Index,Daily,0.19002848636973932
2023-06-13,MELI,Mercado Libre Transaction Index,Daily,0.1935210607068103
2023-06-14,MELI,Mercado Libre Transaction Index,Daily,0.19701363504388134
2023-06-15,MELI,Mercado Libre Transaction Index,Daily,0.20050620938095237
2023-06-16,MELI,Mercado Libre Transaction Index,Daily,0.2039987837180234
2023-06-20,MELI,Mercado Libre Transaction Index,Daily,0.20749135805509444
2023-06-21,MELI,Mercado Libre Transaction Index,Daily,0.21098393239216545
2023-06-22,MELI,Mercado Libre Transaction Index,Daily,0.2144765067292365
2023-06-23,MELI,Mercado Libre Transaction Index,Daily,0.2179690810663075
2023-06-26,MELI,Mercado Libre Transaction Index,Daily,0.22146165540337853
2023-06-27,MELI,Mercado Libre Transaction Index,Daily,0.22495422974044957
2023-06-28,MELI,Mercado Libre Transaction Index,Daily,0.22844680407752058
2023-06-29,MELI,Mercado Libre Transaction Index,Daily,0.2319393784145916
2023-06-30,MELI,Mercado Libre Transaction Index,Daily,0.23543195275166265
2023-07-03,MELI,Mercado Libre Transaction Index,Daily,0.20264324794382474
2023-07-05,MELI,Mercado Libre Transaction Index,Daily,0.2029668330286853
2023-07-06,MELI,Mercado Libre Transaction Index,Daily,0.20329041811354584
2023-07-07,MELI,Mercado Libre Transaction Index,Daily,0.20361400319840642
2023-07-10,MELI,Mercado Libre Transaction Index,Daily,0.20393758828326694
2023-07-11,MELI,Mercado Libre Transaction Index,Daily,0.2042611733681275
2023-07-12,MELI,Mercado Libre Transaction Index,Daily,0.20458475845298804
2023-07-13,MELI,Mercado Libre Transaction Index,Daily,0.2049083435378486
2023-07-14,MELI,Mercado Libre Transaction Index,Daily,0.20523192862270917
2023-07-17,MELI,Mercado Libre Transaction Index,Daily,0.20555551370756972
2023-07-18,MELI,Mercado Libre Transaction Index,Daily,0.2058790987924303
2023-07-19,MELI,Mercado Libre Transaction Index,Daily,0.20620268387729082
2023-07-20,MELI,Mercado Libre Transaction Index,Daily,0.2065262689621514
2023-07-21,MELI,Mercado Libre Transaction Index,Daily,0.20684985404701195
2023-07-24,MELI,Mercado Libre Transaction Index,Daily,0.2071734391318725
2023-07-25,MELI,Mercado Libre Transaction Index,Daily,0.20749702421673305
2023-07-26,MELI,Mercado Libre Transaction Index,Daily,0.2078206093015936
2023-07-27,MELI,Mercado Libre Transaction Index,Daily,0.20814419438645415
2023-07-28,MELI,Mercado Libre Transaction Index,Daily,0.2084677794713147
2023-07-31,MELI,Mercado Libre Transaction Index,Daily,0.20879136455617525
2023-08-01,MELI,Mercado Libre Transaction Index,Daily,0.13565281151655037
2023-08-02,MELI,Mercado Libre Transaction Index,Daily,0.14044768944192326
2023-08-03,MELI,Mercado Libre Transaction Index,Daily,0.14524256736729615
2023-08-04,MELI,Mercado Libre Transaction Index,Daily,0.15003744529266907
2023-08-07,MELI,Mercado Libre Transaction Index,Daily,0.15483232321804194
2023-08-08,MELI,Mercado Libre Transaction Index,Daily,0.15962720114341483
2023-08-09,MELI,Mercado Libre Transaction Index,Daily,0.16442207906878772
2023-08-10,MELI,Mercado Libre Transaction Index,Daily,0.16921695699416062
2023-08-11,MELI,Mercado Libre Transaction Index,Daily,0.17401183491953354
2023-08-14,MELI,Mercado Libre Transaction Index,Daily,0.17880671284490643
2023-08-15,MELI,Mercado Libre Transaction Index,Daily,0.18360159077027932
2023-08-16,MELI,Mercado Libre Transaction Index,Daily,0.18839646869565219
2023-08-17,MELI,Mercado Libre Transaction Index,Daily,0.1931913466210251
2023-08-18,MELI,Mercado Libre Transaction Index,Daily,0.19798622454639794
2023-08-21,MELI,Mercado Libre Transaction Index,Daily,0.2027811024717709
2023-08-22,MELI,Mercado Libre Transaction Index,Daily,0.20757598039714376
2023-08-23,MELI,Mercado Libre Transaction Index,Daily,0.21237085832251665
2023-08-24,MELI,Mercado Libre Transaction Index,Daily,0.21716573624788954
2023-08-25,MELI,Mercado Libre Transaction Index,Daily,0.22196061417326246
2023-08-28,MELI,Mercado Libre Transaction Index,Daily,0.22675549209863533
2023-08-29,MELI,Mercado Libre Transaction Index,Daily,0.23155037002400825
2023-08-30,MELI,Mercado Libre Transaction Index,Daily,0.2363452479493811
2023-08-31,MELI,Mercado Libre Transaction Index,Daily,0.241140125874754
2023-09-01,MELI,Mercado Libre Transaction Index,Daily,0.27541387152466873
2023-09-05,MELI,Mercado Libre Transaction Index,Daily,0.27011366932207204
2023-09-06,MELI,Mercado Libre Transaction Index,Daily,0.26481346711947534
2023-09-07,MELI,Mercado Libre Transaction Index,Daily,0.2595132649168786
2023-09-08,MELI,Mercado Libre Transaction Index,Daily,0.2542130627142819
2023-09-11,MELI,Mercado Libre Transaction Index,Daily,0.24891286051168518
2023-09-12,MELI,Mercado Libre Transaction Index,Daily,0.24361265830908846
2023-09-13,MELI,Mercado Libre Transaction Index,Daily,0.23831245610649177
2023-09-14,MELI,Mercado Libre Transaction Index,Daily,0.23301225390389507
2023-09-15,MELI,Mercado Libre Transaction Index,Daily,0.22771205170129835
2023-09-18,MELI,Mercado Libre Transaction Index,Daily,0.22241184949870163
2023-09-19,MELI,Mercado Libre Transaction Index,Daily,0.21711164729610494
2023-09-20,MELI,Mercado Libre Transaction Index,Daily,0.21181144509350822
2023-09-21,MELI,Mercado Libre Transaction Index,Daily,0.2065112428909115
2023-09-22,MELI,Mercado Libre Transaction Index,Daily,0.2012110406883148
2023-09-25,MELI,Mercado Libre Transaction Index,Daily,0.19591083848571814
2023-09-26,MELI,Mercado Libre Transaction Index,Daily,0.1906106362831214
2023-09-27,MELI,Mercado Libre Transaction Index,Daily,0.18531043408052467
2023-09-28,MELI,Mercado Libre Transaction Index,Daily,0.180010231877928
2023-09-29,MELI,Mercado Libre Transaction Index,Daily,0.17471002967533128
2023-10-02,MELI,Mercado Libre Transaction Index,Daily,0.1657148738156117
2023-10-03,MELI,Mercado Libre Transaction Index,Daily,0.16879688477214574
2023-10-04,MELI,Mercado Libre Transaction Index,Daily,0.17187889572867987
2023-10-05,MELI,Mercado Libre Transaction Index,Daily,0.1749609066852139
2023-10-06,MELI,Mercado Libre Transaction Index,Daily,0.178042917641748
2023-10-10,MELI,Mercado Libre Transaction Index,Daily,0.18112492859828205
2023-10-11,MELI,Mercado Libre Transaction Index,Daily,0.18420693955481612
2023-10-12,MELI,Mercado Libre Transaction Index,Daily,0.1872889505113502
2023-10-13,MELI,Mercado Libre Transaction Index,Daily,0.19037096146788424
2023-10-16,MELI,Mercado Libre Transaction Index,Daily,0.19345297242441833
2023-10-17,MELI,Mercado Libre Transaction Index,Daily,0.19653498338095238
2023-10-18,MELI,Mercado Libre Transaction Index,Daily,0.19961699433748645
2023-10-19,MELI,Mercado Libre Transaction Index,Daily,0.20269900529402052
2023-10-20,MELI,Mercado Libre Transaction Index,Daily,0.2057810162505546
2023-10-23,MELI,Mercado Libre Transaction Index,Daily,0.20886302720708866
2023-10-24,MELI,Mercado Libre Transaction Index,Daily,0.21194503816362273
2023-10-25,MELI,Mercado Libre Transaction Index,Daily,0.2150270491201568
